wl_entry_id,wl_nm,data_id,ref_num,entity_nm,fka_nm,designation_txt,gender_txt,add_info,listed_dt,entity_type
WLE-1974,US OFAC,us-ofac.6ea389e3ca0c6903713db60d0c6bb68c2ef08fef,NPWMD,COMMERCIAL BANK OF SYRIA,,,,all offices worldwide,,Organization
WLE-1975,US OFAC,us-ofac.2c5579cb5dad6d38e4c181620ad235f9f70902e8,NPWMD,SYRIAN LEBANESE COMMERCIAL BANK,,,,,,Organization
WLE-1976,US OFAC,us-ofac.4e9a7e1657e4efc1bbfba39e1fc16e71b452fcec,BELARUS,GRODNO AZOT OAO,,,,,,Organization
WLE-1977,US OFAC,us-ofac.e8b325bd9469713b8b255865e8d3e42fc7e4b9ef,BELARUS,BELSHINA OAO,,,,,,Organization
WLE-1978,US OFAC,us-ofac.7e4912b0c567078bf7364d8cc7adadaea4c1950a,SYRIA,GENERAL PETROLEUM CORPORATION,,,,,,Organization
WLE-1979,US OFAC,us-ofac.052b349aaee70284fbd48bfc755390bec4dcb417,SYRIA,Ali Abdul KARIM ALI,,Syrian Ambassador to Lebanon,,,,Individual
WLE-1980,US OFAC,us-ofac.e0e1ecfd1b777cf5303248cb44b37aaf05155edb,SYRIA,SYRIAN GAS COMPANY,,,,Website www.sgc.gov.sy; Email sgcpdit@mail.sy; Email info@sgc.gov.sy,,Organization
WLE-1981,US OFAC,us-ofac.34aca95476afcd2dab933bc8b58127853fb5e584,SOMALIA,Taeme Abraham GOITOM,,Colonel; Head of Eritrean External Intelligence Operation; Brigadier General,,,,Individual
WLE-1982,US OFAC,us-ofac.90417a61539cc00ae43b954cd5c75792764e10df,SYRIA,Walid AL-MOALLEM,,Foreign and Expatriates Minister; Minister for Foreign Affairs,,,,Individual
WLE-1983,US OFAC,us-ofac.64fbae6e5e34a02103970b16db69df8428a91693,SDNTK,Cliver Antonio ALCALA CORDONES,,Major General of the Fourth Armored Division of the Venezuelan Army,,,,Individual
WLE-1984,US OFAC,us-ofac.7c43fc22dba839889ea8309668e4200d915305a7,SDNTK,Ramon Isidro MADRIZ MORENO,,"Officer, Venezuelan Intelligence Service - SEBIN",,,,Individual
WLE-1985,US OFAC,us-ofac.30d52b035bfffe8f60a3904b6f32e38d45fe75ba,SDGT,Abu Yahya AL-LIBI,,,,,,Individual
WLE-1986,US OFAC,us-ofac.7fbfa90c495150cc34eb8efda2a0504f4bd46676,SDGT,Mustafa Hajji Muhammad KHAN,,,,,,Individual
WLE-1987,US OFAC,us-ofac.8c56d244bc95638d8e7e6c6c745b75f9ddd59420,SDNTK,Kassem Mohamad SALEH,,,,"(Linked To: IMPORTADORA SILVANIA, C.A.; Linked To: BODEGA MICHIGAN)",,Individual
WLE-1988,US OFAC,us-ofac.72d038cef7ab3e0699f2640a2bad2aed51b3759f,SDNTK,IMPORTADORA SILVANIA,,,,,,Organization
WLE-1989,US OFAC,us-ofac.6cd1c9a42af7e6749635a8dfc9c20c6d0d3a2daa,SDNTK,COMERCIALIZADORA EMPRESARIAL TEAM BUSINESS S.A.,,,,,,Organization
WLE-1990,US OFAC,us-ofac.a38655242d34cbda64868eee7316e19720601cf2,SDNTK,NEGOCIOS INTERNACIONALES DEL ECUADOR NIDEGROUP S.A.,,,,,,Organization
WLE-1991,US OFAC,us-ofac.700cc00fa1536bc25df18e864aec4a449659a1fc,SDNTK,"GRUPO MUNDO MARINO, S.A.",,,,,,Organization
WLE-1992,US OFAC,us-ofac.7c2fad5bad996baf9596204455c2feb1cf224125,DRCONGO,Jamil MUKULU,,"Head of the Allied Democratic Forces; Commander, Allied Democratic Forces",,,,Individual
WLE-1993,US OFAC,us-ofac.9860f508e21663c7de21d2b1f8a3686d028141b6,SDGT,Hafiz Abdul Salam BHUTTAVI,,,,,,Individual
WLE-1994,US OFAC,us-ofac.f44733d72b02622677d55d10d310e22f098063c2,SDGT,Muhammad Hisham Muhammad Isma'il ABU GHAZALA,,,,,,Individual
WLE-1995,US OFAC,us-ofac.171299315f4dffbc54b5be16214b60aea0df7abe,SDGT,Hajji Malik NOORZAI,,,,Tribe: Noorzai,,Individual
WLE-1996,US OFAC,us-ofac.40190c76bf16a85d287351841be84ac0a77e69fe,SDGT,Fazal RAHIM,,,,,,Individual
WLE-1997,US OFAC,us-ofac.78771b513459eed484b8c29c4e37fc199ad22452,SDGT,Abdul Aziz ABBASIN,,,,,,Individual
WLE-1998,US OFAC,us-ofac.11ceed99a4a980043c9061e1bdb520fde782f5fe,SDGT; IFSR,MAHAN AIR,,,,,,Organization
WLE-1999,US OFAC,us-ofac.92a34a52acb786b83ca584e04a41998e52543285,SDGT,CONSPIRACY OF FIRE NUCLEI,,,,,,Organization
WLE-2000,US OFAC,us-ofac.139fb7e66058ea60c8b272c24637bccf65727376,IFSR; IRGC; SDGT,Hamed ABDOLLAHI,,,,,,Individual
WLE-2001,US OFAC,us-ofac.848b4a167d67b635b4ec39b3e434549972c213f9,IFSR; IRGC; SDGT,Gholam SHAKURI,,,,,,Individual
WLE-2002,US OFAC,us-ofac.2f4a633e4f653c4f1d1762bf1a81d9c912140bea,SDGT,Mali KHAN,,Haji,,,,Individual
WLE-2003,US OFAC,us-ofac.93b0c214b0b2834f118f5564277e946e96c34be5,SDGT,Hajji Faizullah Khan NOORZAI,,,,Tribe: Noorzai; Subtribe: Miralzai,,Individual
WLE-2004,US OFAC,us-ofac.54aa27a96afa97c3c1693758447795fba4dd0640,SDGT,Abdur REHMAN,,,,,,Individual
WLE-2005,US OFAC,us-ofac.3cebae94cfe95d4fba0a516445ff62b876d33cc7,SDGT,Dr. Ibrahim 'Awwad Ibrahim 'Ali AL-BADRI,,,,,,Individual
WLE-2006,US OFAC,us-ofac.ccc5a09cb1a62e4fc04a45b9b9fb0ca1c49281af,IFSR; IRGC; SDGT,Manssor ARBABSIAR,,,,Driver's License is issued by the State of Texas,,Individual
WLE-2007,US OFAC,us-ofac.2522b0d0dd697e9d45061292ba9985396c56ec5f,SYRIA,REAL ESTATE BANK,,,,,,Organization
WLE-2008,US OFAC,us-ofac.209688323d08cc7473436becf1464e12eca82ce0,NPWMD; IFSR,IRAN CENTRIFUGE TECHNOLOGY COMPANY,,,,,,Organization
WLE-2009,US OFAC,us-ofac.d9d1c0e0a55d5c37614f0250827853eb977c2bfb,IRAN-HR,Hassan FIROUZABADI,,Chief of Staff of the Joint Armed Forces of the Islamic Republic of Iran; Chairman of the Armed Forces' Joint Chiefs of Staff; Major General,,,,Individual
WLE-2010,US OFAC,us-ofac.3dab5c9d8d8f5138329677eaa4047a80de9de11a,IFSR; NPWMD,PAYA PARTOV CO.,,,,,,Organization
WLE-2011,US OFAC,us-ofac.511f37d2255ec4109119ad7c118e29d031a7f7b7,IFSR; NPWMD,NEKA NOVIN,,,,,,Organization
WLE-2012,US OFAC,us-ofac.62fd1f9e34176c529ce02107bf516508324df8c5,IFSR; NPWMD,YASA PART,,,,,,Organization
WLE-2013,US OFAC,us-ofac.b102082db13d19af6067490ba1713a3ade7e101d,SDNTK,"CAFE DU LIBAN, S.A.",,,,,,Organization
WLE-2014,US OFAC,us-ofac.5c1c65f3498654924f3e4ff10347ee2c9b20c42c,SDNTK,"EUROCAMBIO, S.A.",,,,,,Organization
WLE-2015,US OFAC,us-ofac.5d8278b76d85ed520808c769c60a1d9d22ae2621,SDNTK,PRODUCERS GROUP CORP.,,,,,,Organization
WLE-2016,US OFAC,us-ofac.5db81e81d92ea175134c178aace92cc6d9257cb5,SDNTK,"GIORGINO CORPORATION OF PANAMA, S.A.",,,,,,Organization
WLE-2017,US OFAC,us-ofac.77fb95e189abfb487fa1c20cf908ca26a9e9ac51,SDNTK,"GIORGIOTELLY, S.A.",,,,,,Organization
WLE-2018,US OFAC,us-ofac.86eeef8a4dd4a695ac84a4bde9beb673f4b1d22d,SDNTK,"J.H. EXIM INTERNACIONAL, S.A.",,,,,,Organization
WLE-2019,US OFAC,us-ofac.14bae4c084adfc43ec2b90556bed7757a0de90d9,SDNTK,"SILVER HOUSE, INC.",,,,,,Organization
WLE-2020,US OFAC,us-ofac.80fd43c77e9fec3b95ada911fffe0728f8bca46e,SDNTK,ALMACEN ELECTRO SONY STAR,,,,,,Organization
WLE-2021,US OFAC,us-ofac.f427186e176058e942443ed105bee6d96e1a23f6,SDNTK,POLYTON (ASIA) LIMITED,,,,,,Organization
WLE-2022,US OFAC,us-ofac.4d7d070ffe8bca720fe42985dee26759e1034fe4,SDNTK,"GLOBAL TECHNOLOGY IMPORT & EXPORT, S.A. (GTI)",,,,,,Organization
WLE-2023,US OFAC,us-ofac.de1f85056898fe30964a042cf8528f7f7f7da4d9,SDNTK,MICRO EMPRESA ASHQUI,,,,,,Organization
